Category,Question,Answer,Rounds,Points,DailyDouble
"THE SHORT FORM","In show biz, ""cyc"" is short for this type of backdrop that suggests infinite space behind the performer","cyclorama",1,5,0
"UP THROUGH THE RANKS","In 2007 this show was spun off from ""Grey's Anatomy""","Private Practice",1,1,0
"UP THROUGH THE RANKS","2-word term for spanking an errant youngster","corporal punishment",1,2,0
"UP THROUGH THE RANKS","The chief security officer of the Senate, he preserves order in the chamber & the galleries","the Sergeant at Arms",1,3,0
"UP THROUGH THE RANKS","In 1964, for $2 million, he sold his interest in his U.S. franchise to investors that included a future governor of Kentucky","Colonel Sanders",1,4,0
"UP THROUGH THE RANKS","Make a cereal commitment to this company that makes Chex","General Mills",1,5,0
"""R""2 ""D""2","Exposed to plutonium","irradiated",2,1,0
"""R""2 ""D""2","Deteriorated (hey, that works too!), especially by chemical action, like an old battery","corroded",2,2,0
"""R""2 ""D""2","It followed ""Knight"" in the name of a newspaper company acquired by the McClatchy Company in 2006","Ridder",2,3,0
"""R""2 ""D""2","Lacking in control, coherence or direction, like a boat without its steering mechanism","rudderless",2,4,0
"""R""2 ""D""2","More rubicund","redder",2,5,0
"BUBBA FETE","August 12, 2000's Hollywood gala salute to Bill Clinton was a benefit for Hillary's campaign for this office","U.S. Senate",2,1,0
"BUBBA FETE","In July 2001 Cicely Tyson emceed a celebration welcoming Bubba to this area of Manhattan","Harlem",2,2,0
"BUBBA FETE","On January 20, 1993 this cable network threw Clinton its own inaugural ball, featuring Don Henley & En Vogue","MTV",2,3,0
"BUBBA FETE","In November 2004 30,000 little rockers showed up for the gala opening of this","the Bill Clinton Library",2,4,0
"BUBBA FETE","This Clinton pal & former Democratic National Committee chairman co-chaired Bill's fundraising 60th birthday bash","Terry McAuliffe",2,5,0
"CHEWY","This gum brand has used twins in its ad campaigns since the 1930s","Doublemint",2,1,0
"CHEWY","Good & Plenty is this chewy stuff in pink & white candy shells","licorice",2,2,0
"CHEWY","The name of this chewy confection comes from the French for ""nut""; a different kind of it is found in a Milky Way bar","nougat",2,3,0
"CHEWY","We want to hear from you all 3 syllables & 7 letters of this chewy sweet's name, also a tannish color","caramel",2,4,0
"CHEWY","Like the shellfish they're named for, these chewy mushrooms are sold fresh & in cans","oyster mushrooms",2,5,0
"HAND, SOLO","After losing an arm in World War I, Paul Wittgenstein became a one-arm virtuoso on this--earlier than on violin, at least","the piano",2,1,0
"HAND, SOLO","One theory says this practice came from knights lifting their visors when greeting a friend","saluting",2,2,0
"HAND, SOLO","Although an arrow needs 2 hands for proper propulsion, when a Brit plays ""arrows"", he's playing this game","darts",2,3,0
"HAND, SOLO","You'll need one hand for the World Series of Roshambo, but you can turn it into any of these 3 weapons","paper, rock & scissor",2,4,0
"HAND, SOLO","""What is the sound of one hand clapping?"" is a koan from this school of Mahayana Buddhism","Zen",2,5,0
"LUKE","Joseph & Mary went to Bethlehem because it was the ""City of"" this king & Joseph came from his lineage","David",2,1,0
"LUKE","When Jesus was 12, after the feast of Passover, he became separated from his parents for 3 days in this city","Jerusalem",2,2,0
"LUKE","Jesus was tried twice; first by this ruler & then by Pilate","Herod",2,3,0
"LUKE","Elizabeth demanded that her son not be called Zacharias but this","John the Baptist",2,4,0
"LUKE","With 5 loaves & 2 fishes, Jesus fed this many people","5,000",2,5,0
"STAR WARS","Martin Sheen weighed in on his son Charlie's divorce from this actress by calling for a ""cease-fire""","Denise Richards",2,1,0
"STAR WARS","A major rift between Alyssa Milano & her was reportedly among the reasons she left ""Charmed"" in 2001","Shannen Doherty",2,2,0
"STAR WARS","Born Christopher Wallace, he died less than a year after his West Coast rival Tupac Shakur","Notorious B.I.G.",2,3,0
"STAR WARS","Rosie O'Donnell once got into it on her talk show with Tom Selleck over his membership in this group","the National Rifle Association (NRA)",2,4,1
"STAR WARS","Elle Macpherson & Heidi Klum feuded over the use of this nickname","""The Body""",2,5,0
"CHARACTERS IN SHAKESPEARE","This character is described as ""a howling monster"", ""a most scurvy monster"" & ""some monster of the isle""","Caliban",3,0,0
